epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.505,1.99138,2.39847,1.22028,0.32503,0.24743,0.17802,0.08919,1.82256,7.51488,1.16522,0.000551221,0.000551221,0.000551221
2,347.718,2.19357,2.61019,1.30231,0.42802,0.32933,0.24288,0.10733,1.86288,12.551,1.15068,0.00108497,0.00108497,0.00108497
3,532.289,2.29049,2.69994,1.32499,0.3183,0.20968,0.1584,0.08072,2.03515,4.04694,1.22184,0.00159672,0.00159672,0.00159672
4,709.891,2.27728,2.78065,1.30435,0.31894,0.23733,0.18723,0.07836,2.21883,3.60567,1.23821,0.00156798,0.00156798,0.00156798
5,882.547,2.12998,2.58247,1.22227,0.53541,0.43318,0.42237,0.23476,1.71563,2.24245,1.09025,0.00153497,0.00153497,0.00153497
6,1070.84,2.04146,2.35549,1.20726,0.56515,0.50691,0.52734,0.30942,1.51561,1.73844,1.02409,0.00150197,0.00150197,0.00150197
7,1262.07,2.07859,2.47738,1.23444,0.05524,0.24885,0.03386,0.01973,1.50766,9.43848,1.04375,0.00146896,0.00146896,0.00146896
8,1446.22,1.99553,2.34333,1.19531,0.57644,0.47235,0.50548,0.30532,1.39747,2.12889,0.99373,0.00143595,0.00143595,0.00143595
9,1629.75,1.98234,2.28909,1.17453,0.60942,0.54378,0.57902,0.34774,1.42412,1.75794,1.00541,0.00140295,0.00140295,0.00140295
10,1816.14,1.9471,2.30944,1.16661,0.53802,0.48618,0.52274,0.30552,1.43164,1.95208,1.00139,0.00136994,0.00136994,0.00136994
11,1998.39,1.9287,2.17599,1.16241,0.52457,0.46779,0.48006,0.26976,1.55389,1.81905,1.04369,0.00133693,0.00133693,0.00133693
12,2176.65,1.87636,2.17844,1.15427,0.59498,0.49756,0.5249,0.31361,1.41376,1.80379,1.00143,0.00130393,0.00130393,0.00130393
13,2352.81,1.85143,2.12028,1.13162,0.61416,0.51347,0.54322,0.32794,1.53375,2.1995,1.02886,0.00127092,0.00127092,0.00127092
14,2532.16,1.88619,2.20667,1.16697,0.63433,0.53687,0.57672,0.35284,1.31401,2.51706,0.97931,0.00123791,0.00123791,0.00123791
15,2723.74,1.95934,2.22504,1.18008,0.59648,0.48618,0.53871,0.32829,1.35687,1.8583,0.98903,0.00120491,0.00120491,0.00120491
16,2900.29,1.83729,2.11204,1.15026,0.66138,0.58505,0.61316,0.34495,1.46869,3.03207,1.00894,0.0011719,0.0011719,0.0011719
17,3082.06,1.86804,2.1047,1.15072,0.63288,0.4977,0.56204,0.34786,1.32926,1.59791,0.98347,0.00113889,0.00113889,0.00113889
18,3258.46,1.81238,2.07018,1.15793,0.60236,0.5553,0.56349,0.34795,1.37768,1.81627,0.99307,0.00110589,0.00110589,0.00110589
19,3434.56,1.75381,1.99109,1.13144,0.63779,0.53917,0.58489,0.36803,1.24194,1.9387,0.97114,0.00107288,0.00107288,0.00107288
20,3618.56,1.74676,1.91803,1.11076,0.51113,0.4977,0.46055,0.26396,1.43931,2.59539,0.99652,0.00103987,0.00103987,0.00103987
21,3795.83,1.75525,1.94327,1.12004,0.58843,0.49309,0.49203,0.29882,1.44155,1.77319,1.01276,0.00100687,0.00100687,0.00100687
22,3973.72,1.71385,1.96645,1.11491,0.67165,0.58065,0.62239,0.38127,1.27681,1.74998,0.97971,0.000973861,0.000973861,0.000973861
23,4161.96,1.73986,2.03695,1.11279,0.65124,0.64969,0.63045,0.36394,1.32436,1.38726,0.98055,0.000940855,0.000940855,0.000940855
24,4333.48,1.67162,1.81159,1.09654,0.60143,0.50691,0.55081,0.32552,1.41568,1.80612,0.99978,0.000907848,0.000907848,0.000907848
25,4505.09,1.7233,1.87656,1.10958,0.59034,0.59447,0.58295,0.34052,1.29405,2.15231,0.97113,0.000874842,0.000874842,0.000874842
26,4682.48,1.73915,1.94149,1.09941,0.61267,0.56127,0.59609,0.36459,1.26338,1.85308,0.96675,0.000841835,0.000841835,0.000841835
27,4858.81,1.65134,1.7744,1.08733,0.68292,0.61536,0.65873,0.40201,1.26389,1.49174,0.96865,0.000808828,0.000808828,0.000808828
28,5045.26,1.66221,1.82634,1.08666,0.63857,0.6106,0.61978,0.37679,1.31668,2.56213,0.98788,0.000775822,0.000775822,0.000775822
29,5223.1,1.59744,1.78566,1.07468,0.66335,0.5553,0.62361,0.38613,1.34021,1.57087,0.98268,0.000742815,0.000742815,0.000742815
30,5400.26,1.59689,1.7676,1.07019,0.6185,0.57604,0.60344,0.37729,1.26596,1.99338,0.97652,0.000709809,0.000709809,0.000709809
31,5583.35,1.59316,1.69444,1.06932,0.61387,0.56682,0.60083,0.3555,1.41439,1.50293,0.9975,0.000676802,0.000676802,0.000676802
32,5763.91,1.58807,1.71841,1.06736,0.70672,0.56634,0.63889,0.40233,1.25033,1.34148,0.96283,0.000643795,0.000643795,0.000643795
33,5944.88,1.65953,1.84165,1.08735,0.64929,0.52535,0.56951,0.3556,1.3648,1.80519,1.00226,0.000610789,0.000610789,0.000610789
34,6124.08,1.49655,1.60831,1.05235,0.67643,0.58295,0.64088,0.40876,1.3287,1.59648,0.98535,0.000577782,0.000577782,0.000577782
35,6306.19,1.58951,1.71942,1.07302,0.69863,0.57154,0.66785,0.42976,1.2409,1.32992,0.96456,0.000544776,0.000544776,0.000544776
36,6495.24,1.60483,1.83384,1.07283,0.65283,0.61521,0.66416,0.41294,1.22546,1.29269,0.95633,0.000511769,0.000511769,0.000511769
37,6672.59,1.57565,1.70014,1.07632,0.70141,0.59539,0.67729,0.42574,1.26698,1.3474,0.96791,0.000478762,0.000478762,0.000478762
38,6852.16,1.60067,1.76347,1.07083,0.67463,0.62107,0.65754,0.40612,1.27758,1.34565,0.97295,0.000445756,0.000445756,0.000445756
39,7033.06,1.5166,1.64904,1.04723,0.63298,0.60799,0.64279,0.40086,1.28548,1.57854,0.97426,0.000412749,0.000412749,0.000412749
40,7210.35,1.47029,1.61663,1.03076,0.70176,0.58756,0.65895,0.40853,1.2842,1.36372,0.96779,0.000379743,0.000379743,0.000379743
41,7382.18,1.56315,1.9617,1.0916,0.68371,0.57834,0.64704,0.39555,1.26106,1.53269,0.96723,0.000346736,0.000346736,0.000346736
42,7562.66,1.56107,1.79703,1.09925,0.65625,0.59823,0.63713,0.40341,1.23206,1.53602,0.95747,0.000313729,0.000313729,0.000313729
43,7738.79,1.5275,1.78209,1.0727,0.69948,0.57604,0.63359,0.40216,1.20284,1.42177,0.94775,0.000280723,0.000280723,0.000280723
44,7919.44,1.49334,1.70106,1.0736,0.65479,0.59677,0.64519,0.40288,1.24293,1.55767,0.96189,0.000247716,0.000247716,0.000247716
45,8096.53,1.53931,1.83181,1.07495,0.71933,0.57834,0.67015,0.41783,1.23084,1.30728,0.96417,0.00021471,0.00021471,0.00021471
