epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.086,3.60472,6.4153,2.11968,4e-05,0.0023,2e-05,0,2.99731,4.96932,1.68612,0.0669664,3.30667e-05,3.30667e-05
2,332.507,3.33372,5.15935,1.98183,0.001,0.06912,0.00065,0.00026,2.95325,4.36083,1.66212,0.0336651,6.50853e-05,6.50853e-05
3,502.087,3.27232,4.6626,1.93945,0.06282,0.00922,0.00569,0.00231,2.75956,4.07104,1.58258,0.000362451,9.57839e-05,9.57839e-05
4,670.307,3.04783,4.16719,1.78869,0.15037,0.04147,0.02463,0.01098,2.38512,3.48286,1.41279,9.406e-05,9.406e-05,9.406e-05
5,838.024,2.74829,3.7926,1.64812,0.29699,0.12673,0.08919,0.04234,2.15094,3.11632,1.27708,9.208e-05,9.208e-05,9.208e-05
6,1006.99,2.59781,3.23351,1.55516,0.32388,0.18203,0.14369,0.06654,2.0582,2.89176,1.23936,9.01e-05,9.01e-05,9.01e-05
7,1176.03,2.63572,3.27687,1.59058,0.31311,0.14747,0.12186,0.0575,1.93267,2.9154,1.18644,8.812e-05,8.812e-05,8.812e-05
8,1343.43,2.48864,3.02585,1.51909,0.40743,0.20754,0.20138,0.09209,1.96999,2.59712,1.17644,8.614e-05,8.614e-05,8.614e-05
9,1515.49,2.55714,3.0052,1.51098,0.34422,0.26267,0.21186,0.0953,1.8939,3.32041,1.14788,8.416e-05,8.416e-05,8.416e-05
10,1687.79,2.36896,2.78012,1.42192,0.49769,0.30876,0.3232,0.14313,1.79577,2.70569,1.10476,8.218e-05,8.218e-05,8.218e-05
11,1859.52,2.32346,2.6654,1.39919,0.47572,0.30876,0.29798,0.14391,1.77083,2.57297,1.10733,8.02e-05,8.02e-05,8.02e-05
12,2022.48,2.33961,2.71055,1.39447,0.51355,0.36866,0.36772,0.17262,1.75053,2.35234,1.08941,7.822e-05,7.822e-05,7.822e-05
13,2188.83,2.3831,2.84175,1.41487,0.56658,0.37097,0.38817,0.18816,1.69794,2.32225,1.07703,7.624e-05,7.624e-05,7.624e-05
14,2356.03,2.24952,2.58095,1.35984,0.5419,0.38977,0.40688,0.19761,1.71842,1.98417,1.08546,7.426e-05,7.426e-05,7.426e-05
15,2528.53,2.25594,2.51751,1.36592,0.54844,0.39401,0.41058,0.19952,1.71215,2.28949,1.08598,7.228e-05,7.228e-05,7.228e-05
16,2702,2.27117,2.68679,1.35451,0.57433,0.41244,0.42415,0.20512,1.69209,1.98474,1.07696,7.03e-05,7.03e-05,7.03e-05
17,2878.6,2.1938,2.45017,1.31846,0.53544,0.43022,0.41505,0.20577,1.69293,2.28051,1.07284,6.832e-05,6.832e-05,6.832e-05
18,3043.8,2.18831,2.54949,1.36058,0.58883,0.39927,0.44585,0.2216,1.64,2.02612,1.05031,6.634e-05,6.634e-05,6.634e-05
19,3215.83,2.15619,2.4102,1.33157,0.58583,0.44324,0.44247,0.22058,1.64697,2.00298,1.05685,6.436e-05,6.436e-05,6.436e-05
20,3384.09,2.10671,2.30889,1.30716,0.57598,0.46544,0.45364,0.22832,1.62339,1.99225,1.04869,6.238e-05,6.238e-05,6.238e-05
21,3556.08,2.22247,2.68124,1.3266,0.56066,0.49987,0.46741,0.23253,1.60785,1.96152,1.04794,6.04e-05,6.04e-05,6.04e-05
22,3728.62,2.07997,2.27769,1.28305,0.58981,0.43779,0.45522,0.23525,1.61339,1.92578,1.05099,5.842e-05,5.842e-05,5.842e-05
23,3902.39,2.12787,2.33575,1.27519,0.5744,0.47465,0.4614,0.23995,1.5876,1.93906,1.04654,5.644e-05,5.644e-05,5.644e-05
24,4074.61,2.06128,2.254,1.28231,0.59039,0.48821,0.49309,0.25498,1.567,1.72798,1.04118,5.446e-05,5.446e-05,5.446e-05
25,4246.53,2.09425,2.30359,1.28751,0.60751,0.46313,0.47468,0.24518,1.61539,1.93398,1.04618,5.248e-05,5.248e-05,5.248e-05
26,4414.4,2.09002,2.39852,1.28691,0.61244,0.47926,0.4899,0.26323,1.56403,1.77942,1.03702,5.05e-05,5.05e-05,5.05e-05
27,4587.21,2.16896,2.41659,1.29252,0.62177,0.4621,0.48251,0.24744,1.59219,1.80006,1.0363,4.852e-05,4.852e-05,4.852e-05
28,4754.26,2.03171,2.24437,1.26309,0.65593,0.47235,0.49428,0.26147,1.56014,1.85196,1.03087,4.654e-05,4.654e-05,4.654e-05
29,4922.08,2.08763,2.3397,1.29452,0.62696,0.47696,0.5051,0.26758,1.52013,1.77006,1.01756,4.456e-05,4.456e-05,4.456e-05
30,5089.62,2.05535,2.35695,1.28288,0.60795,0.48235,0.49663,0.276,1.51267,1.76598,1.02111,4.258e-05,4.258e-05,4.258e-05
31,5257.57,2.05384,2.2689,1.26895,0.59497,0.48387,0.49559,0.26386,1.55094,1.64072,1.02589,4.06e-05,4.06e-05,4.06e-05
32,5424.26,2.08601,2.30992,1.28098,0.61503,0.47926,0.48906,0.25837,1.53637,1.7568,1.03015,3.862e-05,3.862e-05,3.862e-05
33,5592.73,2.14449,2.41615,1.30691,0.6419,0.48848,0.49822,0.26669,1.51351,1.70317,1.02628,3.664e-05,3.664e-05,3.664e-05
